[0]116.605 [1]113.047 [2]115.696 [3]126.25 [4]131.187 [5]128.172 [6]129.27 [7]129.861 [8]110.333 [9]107.765 [10]130.234 [11]127.881 [12]133.956 [13]132.605 [14]130.203 [15]123.29 [16]129.019 [17]128.121 [18]126.191 [19]130.999 [20]125.884 
[0]112.241 [1]116.052 [2]112.901 [3]130.092 [4]123.889 [5]124.357 [6]129.486 [7]121.681 [8]103.867 [9]101.219 [10]131.545 [11]128.367 [12]126.903 [13]128.928 [14]126.315 [15]125.158 [16]133.19 [17]129.373 [18]127.679 [19]125.214 [20]128.553 
[0]114.957 [1]111.864 [2]117.758 [3]124.402 [4]127.328 [5]129.217 [6]127.021 [7]129.124 [8]105.998 [9]109.636 [10]123.746 [11]126.697 [12]125.791 [13]125.67 [14]128.193 [15]126.336 [16]125.471 [17]125.488 [18]125.584 [19]127.463 [20]132.943 
[0]113.865 [1]113.424 [2]121.22 [3]127.308 [4]128.88 [5]131.684 [6]132.731 [7]130.035 [8]99.4299 [9]101.786 [10]130.887 [11]128.046 [12]130.334 [13]127.569 [14]131.518 [15]127.321 [16]131.009 [17]128.373 [18]132.385 [19]126.556 [20]124.085 
[0]109.246 [1]112.866 [2]115.083 [3]126.822 [4]132.163 [5]125.873 [6]132.994 [7]102.259 [8]96.4483 [9]102.044 [10]126.833 [11]129.283 [12]126.714 [13]125.431 [14]127.595 [15]132.274 [16]127.516 [17]129.722 [18]130.676 [19]131.053 [20]127.409 
[0]113.627 [1]113.892 [2]118.37 [3]120.58 [4]129.725 [5]128.719 [6]123.794 [7]99.3505 [8]94.0326 [9]105.81 [10]124.085 [11]128.187 [12]120.409 [13]127.033 [14]128.476 [15]126.437 [16]126.813 [17]125.157 [18]124.252 [19]123.017 [20]127.311 
[0]111.528 [1]110.528 [2]118.338 [3]126.307 [4]130.625 [5]134.544 [6]125.53 [7]93.2532 [8]87.697 [9]98.273 [10]123.33 [11]127.237 [12]129.357 [13]131.352 [14]125.959 [15]131.819 [16]133.652 [17]130.007 [18]132.373 [19]124.073 [20]133.353 
[0]114.105 [1]108.907 [2]118.664 [3]127.795 [4]128.466 [5]126.099 [6]127.38 [7]84.7723 [8]86.5945 [9]108.964 [10]133.873 [11]126.243 [12]130.824 [13]126.999 [14]124.258 [15]125.066 [16]126.023 [17]128.363 [18]132.824 [19]128.987 [20]129.994 
[0]116.97 [1]110.524 [2]119.269 [3]127.231 [4]124.321 [5]133.267 [6]129.68 [7]79.2595 [8]74.7868 [9]104.877 [10]129.176 [11]128.727 [12]124.939 [13]126.505 [14]131.471 [15]126.626 [16]123.552 [17]125.76 [18]125.595 [19]128.866 [20]128.387 
[0]115.33 [1]119.323 [2]122.24 [3]120.223 [4]132.824 [5]127.137 [6]74.8984 [7]74.1469 [8]126.278 [9]129.458 [10]128.324 [11]126.666 [12]127.677 [13]130.399 [14]128.812 [15]129.557 [16]130.839 [17]128.262 [18]124.323 [19]128.155 [20]124.535 
[0]124.395 [1]127.405 [2]126.012 [3]129.692 [4]84.2802 [5]72.6814 [6]75.6567 [7]126.169 [8]123.846 [9]127.947 [10]124.599 [11]127.674 [12]129.242 [13]131.537 [14]135.159 [15]128.482 [16]124.552 [17]127.11 [18]126.789 [19]123.978 [20]127.81 
[0]124.194 [1]127.01 [2]123.992 [3]133.482 [4]74.68 [5]70.0725 [6]66.2553 [7]123.27 [8]128.102 [9]129.465 [10]129.065 [11]126.67 [12]131.606 [13]135.439 [14]130.14 [15]123.834 [16]124.494 [17]129.184 [18]127.972 [19]127.11 [20]132.89 
[0]113.671 [1]128.674 [2]127.048 [3]121.301 [4]70.9107 [5]63.4079 [6]61.9533 [7]128.455 [8]125.219 [9]133.253 [10]130.295 [11]130.808 [12]136.283 [13]126.539 [14]127.913 [15]130.655 [16]127.935 [17]125.836 [18]122.354 [19]123.517 [20]131.852 
[0]121.723 [1]129.094 [2]128.075 [3]123.985 [4]73.1967 [5]61.9014 [6]64.3778 [7]122.798 [8]126.254 [9]125.806 [10]129.588 [11]128.212 [12]124.289 [13]124.819 [14]122.831 [15]129.792 [16]128.475 [17]133.342 [18]128.073 [19]132.065 [20]129.271 
[0]127.311 [1]124.123 [2]131.943 [3]70.9583 [4]64.2363 [5]49.0281 [6]71.4464 [7]126.927 [8]124.437 [9]130.249 [10]121.03 [11]127.006 [12]129.303 [13]126.426 [14]130.399 [15]128.373 [16]124.249 [17]127.739 [18]127.308 [19]133.015 [20]125.781 
[0]128.631 [1]127.758 [2]129.147 [3]72.1313 [4]64.8283 [5]52.9226 [6]80.548 [7]129.993 [8]123.701 [9]125.663 [10]130.945 [11]129.155 [12]129.935 [13]133.311 [14]130.906 [15]129.2 [16]132.535 [17]131.004 [18]124.741 [19]126.985 [20]129.93 
[0]129.441 [1]127.816 [2]124.729 [3]60.5247 [4]51.2423 [5]56.7223 [6]129.99 [7]125.123 [8]125.859 [9]129.023 [10]129.631 [11]125.705 [12]134.716 [13]120.406 [14]132.357 [15]124.824 [16]123.074 [17]122.562 [18]130.409 [19]120.991 [20]127.795 
[0]129.154 [1]133.238 [2]75.1094 [3]60.098 [4]58.1197 [5]56.4282 [6]120.583 [7]125.039 [8]123.346 [9]135.64 [10]126.113 [11]121.702 [12]123.61 [13]127.901 [14]130.257 [15]126.647 [16]127.387 [17]130.432 [18]130.03 [19]131.013 [20]126.71 
[0]129.692 [1]131.549 [2]59.6692 [3]53.5814 [4]45.5426 [5]58.9483 [6]130.382 [7]128.014 [8]127.981 [9]128.069 [10]129.491 [11]126.797 [12]121.369 [13]126.409 [14]126.542 [15]127.975 [16]126.321 [17]129.96 [18]123.998 [19]129.714 [20]129.631 
[0]127.842 [1]129.967 [2]54.1802 [3]43.5849 [4]47.1251 [5]65.676 [6]116.104 [7]128.3 [8]127.768 [9]128.63 [10]124.412 [11]128.254 [12]128.611 [13]129.332 [14]129.402 [15]126.234 [16]127.262 [17]129.589 [18]126.713 [19]129.743 [20]125.268 
[0]125.528 [1]63.8211 [2]48.0793 [3]42.4926 [4]54.9162 [5]66.705 [6]129.015 [7]124.767 [8]127.242 [9]132.566 [10]124.871 [11]129.628 [12]128.313 [13]128.174 [14]132.569 [15]128.494 [16]127.112 [17]126.816 [18]124.623 [19]132.02 [20]130.45 
[0]126.506 [1]57.025 [2]44.4231 [3]41.4674 [4]53.0069 [5]125.723 [6]125.289 [7]130.898 [8]129.003 [9]127.049 [10]128.25 [11]124.548 [12]125.268 [13]128.248 [14]123.925 [15]128.291 [16]121.553 [17]128.215 [18]124.47 [19]128.267 [20]128.342 
[0]128.372 [1]47.5602 [2]40.5858 [3]46.9639 [4]54.7354 [5]129.809 [6]122.516 [7]131.258 [8]124.695 [9]127.393 [10]128.002 [11]129.033 [12]131.457 [13]133.528 [14]131.013 [15]131.004 [16]129.936 [17]124.944 [18]133.738 [19]129.669 [20]129.525 
[0]55.8274 [1]36.5075 [2]41.0317 [3]48.423 [4]52.1156 [5]128.638 [6]117.09 [7]129.05 [8]126.503 [9]131.391 [10]128.158 [11]127.065 [12]134.227 [13]122.468 [14]132.207 [15]126.936 [16]123.497 [17]130.319 [18]130.556 [19]125.674 [20]127.711 
[0]48.3939 [1]41.7335 [2]44.8925 [3]50.3616 [4]125.566 [5]120.298 [6]114.81 [7]131.063 [8]134.115 [9]124.974 [10]126.382 [11]127.314 [12]127.067 [13]132.031 [14]128.419 [15]128.622 [16]130.13 [17]124.994 [18]130.61 [19]128.014 [20]129.396 
[0]36.6947 [1]40.4856 [2]42.723 [3]55.1149 [4]121.878 [5]123.83 [6]117.137 [7]130.314 [8]123.958 [9]130.883 [10]130.844 [11]129.722 [12]132.907 [13]128.211 [14]130.21 [15]131.443 [16]132.743 [17]130.283 [18]134.649 [19]126.521 [20]128.211 
